Quiz_ID,Total_Marks,Avg_Response_Time,Total_Time_Spent,Topic_1_Marks,Topic_2_Marks,Topic_3_Marks,Topic_4_Marks,Topic_5_Marks,Topic_6_Marks,Topic_7_Marks,Topic_8_Marks,Topic_9_Marks,Topic_10_Marks,Topic_1_Strength,Topic_2_Strength,Topic_3_Strength,Topic_4_Strength,Topic_5_Strength,Topic_6_Strength,Topic_7_Strength,Topic_8_Strength,Topic_9_Strength,Topic_10_Strength
3,27,21,1050,1,1,5,3,5,1,1,5,2,3,0,0,1,1,1,0,0,1,0,1
1,18,26,1300,1,2,4,0,1,4,4,0,2,0,0,0,1,0,0,1,1,0,0,0
3,23,16,800,3,1,4,0,1,3,4,3,1,3,1,0,1,0,0,1,1,1,0,1
3,28,8,400,0,4,0,4,3,4,5,1,3,4,0,1,0,1,1,1,1,0,1,1
1,21,12,600,1,4,3,0,0,0,3,5,1,4,0,1,1,0,0,0,1,1,0,1
1,28,5,250,3,3,4,1,3,2,5,2,4,1,1,1,1,0,1,0,1,0,1,0
3,19,25,1250,1,1,2,4,1,0,4,1,1,4,0,0,0,1,0,0,1,0,0,1
2,21,15,750,2,1,5,0,4,2,2,1,2,2,0,0,1,0,1,0,0,0,0,0
3,30,10,500,1,3,2,0,5,2,3,5,5,4,0,1,0,0,1,0,1,1,1,1
3,24,9,450,5,3,1,4,2,2,5,2,0,0,1,1,0,1,0,0,1,0,0,0
3,23,19,950,5,4,5,1,0,3,1,0,0,4,1,1,1,0,0,1,0,0,0,1
3,30,26,1300,1,4,5,4,0,4,4,2,5,1,0,1,1,1,0,1,1,0,1,0
1,33,23,1150,4,5,2,1,5,2,4,3,3,4,1,1,0,0,1,0,1,1,1,1
3,22,29,1450,2,1,4,1,2,1,3,1,4,3,0,0,1,0,0,0,1,0,1,1
2,36,19,950,0,4,2,5,3,5,4,5,3,5,0,1,0,1,1,1,1,1,1,1
1,34,11,550,1,4,3,3,2,5,4,2,5,5,0,1,1,1,0,1,1,0,1,1
2,17,21,1050,0,1,1,0,4,2,1,4,1,3,0,0,0,0,1,0,0,1,0,1
2,27,25,1250,2,3,5,5,1,4,1,2,1,3,0,1,1,1,0,1,0,0,0,1
