Student ID,Quiz ID,Correct Answers (Total),Incorrect Answers (Total),Response Time (Avg),Difficulty Prediction,Topic 1 (Correct),Topic 1 (Incorrect),Time Spent on Topic 1,Topic 2 (Correct),Topic 2 (Incorrect),Time Spent on Topic 2,Topic 3 (Correct),Topic 3 (Incorrect),Time Spent on Topic 3,Topic 4 (Correct),Topic 4 (Incorrect),Time Spent on Topic 4,Topic 5 (Correct),Topic 5 (Incorrect),Time Spent on Topic 5,Topic 6 (Correct),Topic 6 (Incorrect),Time Spent on Topic 6,Topic 7 (Correct),Topic 7 (Incorrect),Time Spent on Topic 7,Topic 8 (Correct),Topic 8 (Incorrect),Time Spent on Topic 8,Topic 9 (Correct),Topic 9 (Incorrect),Time Spent on Topic 9,Topic 10 (Correct),Topic 10 (Incorrect),Time Spent on Topic 10
1,1,28,22,25,0,0,5,62,4,1,16,2,3,64,3,2,31,5,0,65,0,5,113,5,0,113,5,0,116,5,0,89,5,0,46
1,2,31,19,8,0,4,1,52,4,1,63,4,1,64,2,3,60,5,0,93,5,0,68,5,0,30,4,1,86,5,0,62,0,5,60
1,3,38,12,13,0,0,5,55,5,0,72,2,3,108,2,3,59,2,3,58,0,5,27,1,4,33,4,1,25,2,3,104,4,1,102
2,1,30,20,24,0,1,4,74,3,2,43,2,3,38,0,5,24,4,1,10,3,2,57,1,4,97,1,4,91,5,0,62,0,5,117
2,2,21,29,21,0,0,5,53,4,1,60,0,5,106,0,5,14,1,4,40,0,5,92,1,4,31,2,3,99,5,0,16,1,4,39
2,3,35,15,27,0,0,5,49,1,4,98,1,4,46,1,4,27,5,0,71,3,2,11,5,0,43,2,3,33,3,2,102,2,3,53
3,1,37,13,14,0,3,2,19,0,5,69,1,4,40,3,2,119,1,4,16,4,1,58,0,5,107,1,4,102,1,4,111,2,3,102
3,2,21,29,19,0,5,0,96,0,5,51,4,1,60,3,2,20,0,5,117,2,3,65,1,4,67,1,4,31,1,4,11,1,4,13
3,3,48,2,21,1,2,3,42,2,3,87,3,2,86,3,2,84,4,1,68,0,5,10,5,0,94,0,5,106,4,1,92,2,3,55
4,1,31,19,9,0,0,5,52,0,5,11,5,0,56,3,2,66,4,1,63,5,0,111,4,1,30,3,2,25,1,4,70,0,5,44
